site_net_kwh,site_net_kvarh,kva,tariff
0.608231281,3.442045237,13.9814853,PEAK
4.429532242,6.914780785,32.84751417,PEAK
4.429532242,6.914780785,32.84751417,PEAK
-1.678955756,6.511673785,26.89856142,PEAK
-1.678955756,6.511673785,26.89856142,PEAK
-1.36088215,6.794839153,27.71911668,PEAK
-1.36088215,6.794839153,27.71911668,PEAK
-2.982029303,7.81048774,33.4415831,PEAK
-2.982029303,7.81048774,33.4415831,PEAK
-3.556328869,7.804653438,34.30687169,PEAK
-3.556328869,7.804653438,34.30687169,PEAK
-4.953782551,8.106520523,38.00118663,PEAK
-4.953782551,8.106520523,38.00118663,PEAK
-4.993541752,8.150680124,38.23486277,PEAK
-4.993541752,8.150680124,38.23486277,PEAK
-6.172220117,7.193705944,37.91479002,PEAK
-6.172220117,7.193705944,37.91479002,PEAK
-5.68627433,7.930435695,39.03342692,PEAK
-5.68627433,7.930435695,39.03342692,PEAK
-4.911206661,7.974574697,37.46225673,PEAK
-4.911206661,7.974574697,37.46225673,PEAK
-10.13291503,2.452055324,41.70151887,PEAK
-10.13291503,2.452055324,41.70151887,PEAK
-5.480542105,4.992477936,29.65432251,PEAK
-5.480542105,4.992477936,29.65432251,PEAK
-3.890174075,6.649210234,30.81439951,PEAK
-3.890174075,6.649210234,30.81439951,PEAK
0.201267276,7.726693019,30.91725564,PEAK
0.201267276,7.726693019,30.91725564,PEAK
0.439822481,8.147854303,32.63886605,PEAK
0.439822481,8.147854303,32.63886605,PEAK
6.083759483,8.234572429,40.95271664,PEAK
6.083759483,8.234572429,40.95271664,PEAK
6.101430239,8.288206646,41.16733081,PEAK
6.101430239,8.288206646,41.16733081,PEAK
7.061078662,6.926937193,39.56590264,PEAK
7.061078662,6.926937193,39.56590264,PEAK
3.045399387,2.017555956,14.6123178,PEAK
3.045399387,2.017555956,14.6123178,PEAK
3.291178284,1.780386613,14.96750132,PEAK
3.291178284,1.780386613,14.96750132,PEAK
3.048205391,1.687637162,13.93681473,PEAK
3.048205391,1.687637162,13.93681473,PEAK
3.101217658,1.696477405,14.13963878,PEAK
3.101217658,1.696477405,14.13963878,PEAK
3.074711525,1.683145629,14.02103002,PEAK
3.074711525,1.683145629,14.02103002,PEAK
3.118888414,1.696394754,14.20153237,PEAK
3.118888414,1.696394754,14.20153237,PEAK
3.127723792,1.718483918,14.2749252,PEAK
3.127723792,1.718483918,14.2749252,PEAK
2.968686989,1.656707993,13.5986963,PEAK
2.968686989,1.656707993,13.5986963,PEAK
3.176318371,1.798044211,14.59970486,PEAK
3.176318371,1.798044211,14.59970486,PEAK
3.154229926,1.815714223,14.55801336,OFF-PEAK
3.154229926,1.815714223,14.55801336,OFF-PEAK
3.185153749,1.793788223,14.62210961,OFF-PEAK
3.185153749,1.793788223,14.62210961,OFF-PEAK
3.198406816,1.828928643,14.73759065,OFF-PEAK
3.198406816,1.828928643,14.73759065,OFF-PEAK
3.163065304,1.824673037,14.60652666,OFF-PEAK
3.163065304,1.824673037,14.60652666,OFF-PEAK
3.13655917,1.837763943,14.5411855,OFF-PEAK
3.13655917,1.837763943,14.5411855,OFF-PEAK
3.167482993,1.806844671,14.58636962,OFF-PEAK
3.167482993,1.806844671,14.58636962,OFF-PEAK
3.154229926,1.793743498,14.51436925,OFF-PEAK
3.154229926,1.793743498,14.51436925,OFF-PEAK
3.185153749,1.736410387,14.51086514,OFF-PEAK
3.185153749,1.736410387,14.51086514,OFF-PEAK
3.127723792,1.784855296,14.40464622,OFF-PEAK
3.127723792,1.784855296,14.40464622,OFF-PEAK
3.127723792,1.692059103,14.22432853,OFF-PEAK
3.127723792,1.692059103,14.22432853,OFF-PEAK
3.207242194,1.793607256,14.69880511,OFF-PEAK
3.207242194,1.793607256,14.69880511,OFF-PEAK
3.260254461,1.798005606,14.89272752,OFF-PEAK
3.260254461,1.798005606,14.89272752,OFF-PEAK
3.269089839,1.780334495,14.88974911,OFF-PEAK
3.269089839,1.780334495,14.88974911,OFF-PEAK
3.229330639,1.771496442,14.73324188,OFF-PEAK
3.229330639,1.771496442,14.73324188,OFF-PEAK
3.193989127,1.727326728,14.52458559,OFF-PEAK
3.193989127,1.727326728,14.52458559,OFF-PEAK
3.229330639,1.718495336,14.63245849,OFF-PEAK
3.229330639,1.718495336,14.63245849,OFF-PEAK
3.247001394,1.696417489,14.65379151,OFF-PEAK
3.247001394,1.696417489,14.65379151,OFF-PEAK
3.22491295,1.72326085,14.62583549,OFF-PEAK
3.22491295,1.72326085,14.62583549,OFF-PEAK
3.036596811,1.789403247,14.09844483,OFF-PEAK
3.036596811,1.789403247,14.09844483,OFF-PEAK
3.21330437,1.890771591,14.91326507,OFF-PEAK
3.21330437,1.890771591,14.91326507,OFF-PEAK
-0.035598822,2.60929643,10.43815703,PEAK
-0.035598822,2.60929643,10.43815703,PEAK
3.803372895,6.548343252,30.29097416,PEAK
3.803372895,6.548343252,30.29097416,PEAK
0.041889361,8.036342578,32.14580701,PEAK
0.041889361,8.036342578,32.14580701,PEAK
-0.201083533,7.74862935,31.00495222,PEAK
-0.201083533,7.74862935,31.00495222,PEAK
-3.565442615,8.04481561,35.19805432,PEAK
-3.565442615,8.04481561,35.19805432,PEAK
-3.834921642,7.548239247,33.86621673,PEAK
-3.834921642,7.548239247,33.86621673,PEAK
-4.835183466,7.329645035,35.12325622,PEAK
-4.835183466,7.329645035,35.12325622,PEAK
-4.910284178,7.28478377,35.14062385,PEAK
-4.910284178,7.28478377,35.14062385,PEAK
-5.314501578,7.304198099,36.13203274,PEAK
-5.314501578,7.304198099,36.13203274,PEAK
-5.3056662,7.665399819,37.28988028,PEAK
